Low Price,Volume,Quote Asset Volume,Number of Trades,Hourly_Range,Range_Percentage,Volatility_4h,TR,ATR_4h,BB_Lower_4h,BB_Width_4h,Volatility_8h,ATR_8h,BB_Lower_8h,BB_Width_8h,Volatility_24h,ATR_24h,BB_Lower_24h,BB_Width_24h,RSI_24h,MACD,MACD_Signal,Volume_MA4,Volume_MA8,Volume_MA24,Price_StdDev_4h,Volume_StdDev_4h
90615.71,2850.16791,260381896.940116,322968.0,1463.5899999999965,1.615161254581431,0.0080311529189466,1463.5899999999965,617.432499999999,89648.44639604447,0.0282073680898736,0.0062391275284766,625.397500000001,89340.33099391854,0.0274332775899647,0.33267361594307293,609.3600000000006,89236.10276989196,0.0264504485269474,61.59381093848685,90.40470999720856,-118.3350489491438,1170.5858525,1033.06937625,994.3573479166666,749.6380003875194,1126.1798554341667
91415.79,2381.3064,218716632.60700592,329282.0,884.2100000000064,0.9604522351497716,0.0090269835193087,884.2100000000064,744.255000000001,89820.54773054735,0.0302909133013152,0.0067388260271724,667.5475000000006,89523.85197726864,0.0286142216188932,0.33999977713844415,633.757500000001,89183.80522234022,0.0287516346541977,58.46466402833317,173.28896186911152,-60.010246785492754,1594.6662125,1203.86217125,1065.56724375,802.0202198355022,1199.3751999476158
91555.54,1210.88132,111220715.6635827,214675.0,585.5900000000111,0.6384546864966175,0.0084795374295775,585.5900000000111,825.3650000000052,90442.21982479875,0.0241757499531095,0.0067369571882977,677.8987500000021,89814.28479074412,0.0273528344764485,0.331500162883741,634.3645833333352,89129.53552847792,0.0306547152852032,59.040674448183786,243.48808841411665,0.6894202544291304,1787.1744950000002,1262.1467900000002,1069.328605,640.7405431477794,997.2060419139696
91640.0,1098.76634,100961674.9013399,239853.0,571.9900000000052,0.6230108505989561,0.008827539758483,571.9900000000052,876.3450000000048,91542.13310638996,0.0061847680335758,0.0063005351179058,619.265000000003,89897.26700802629,0.0281981961076189,0.32788200210515955,638.1479166666686,89100.50101262725,0.0316987401101455,58.11350030256988,287.73460535491176,58.098457274525664,1885.2804925,1263.3401875,1070.559623333333,163.73907299411667,866.115501403152
91680.0,1099.18688,100987794.13159,185757.0,336.0,0.3663699034102823,0.0021489800286781,336.0,594.4475000000057,91672.12561659908,0.0017545470680958,0.0060921869139809,605.9400000000023,90126.85918063656,0.0266512705291904,0.3240336520753983,633.4754166666686,89062.7686338423,0.0331485902273555,58.51333777809473,323.8138467717072,111.24153517396198,1447.535235,1309.06054375,1093.78462625,46.48067080314603,624.7452767918064
90051.1,3079.76212,279810918.1257601,453341.0,1764.909999999989,1.9232003511408853,0.0082817501147051,1764.909999999989,814.6225000000013,90100.47776546328,0.0286006175684645,0.0088165784659181,779.4387500000012,89947.35261854492,0.0299797105017757,0.4314714532259872,683.3466666666682,89041.44538990359,0.0337920870734404,46.69680921187124,229.18825133734208,134.83087840663802,1622.1491649999998,1608.40768875,1172.21313875,745.3373936234063,973.172800680362
90100.5,1724.96027,156101659.2972819,263667.0,657.0800000000017,0.7278638092240928,0.0086519777285103,657.0800000000017,832.494999999999,89712.7009172037,0.0299472394406738,0.0088394307555247,828.9300000000021,89980.17855817165,0.0293836965849081,0.4264734614711994,687.4800000000014,89033.05825944035,0.0333682344375327,48.45585936405476,171.7444001982949,142.2135827649694,1750.6689024999998,1768.92169875,1203.5523408333331,782.5227048037374,933.9085414222462
89376.9,2600.74405,233561387.77262527,383233.0,1219.0800000000015,1.3467946512671545,0.009171770965229,1219.0800000000015,994.267499999998,88886.00481891751,0.03642306300262,0.0096437393751407,935.3062500000016,89414.69906347578,0.0392427861635227,0.45839473087644916,704.8583333333348,88934.96035165899,0.0350059541907355,42.34111140934544,43.8206490187149,122.5349960157185,2126.16333,2005.72191125,1265.0561341666669,941.0651661947112,885.1030140221259
89436.29,3049.73206,275325652.8228598,451637.0,1617.290000000008,1.8069829098113064,0.0117840166065255,1617.290000000008,1314.59,89379.25380252089,0.0170831180418903,0.0080214897044229,954.5187500000028,89258.35515387211,0.0374999647567894,0.4885307045471781,737.243333333335,88934.78028261306,0.0346949227955956,47.798579650146415,7.374853661283851,99.50296754483158,2613.799625,2030.66743,1336.2035504166668,445.3513685096876,631.760498307985
90242.61,5498.53658,503831120.2015771,561007.0,2351.3899999999994,2.6037449616866715,0.0138693203696512,2351.3899999999994,1461.2100000000028,88608.4589275198,0.0444322816247255,0.0117529947808822,1137.916250000002,89161.93300469809,0.0403728065570256,0.6423597682741147,815.4891666666681,88866.24419485942,0.0372777764387203,58.08219834261426,138.40022933666478,107.28241990319822,3218.49324,2420.3212025,1535.0114224999998,1184.0074572400504,1616.5119612276346
91121.23,3213.18996,295267528.4096658,465519.0,1463.7200000000012,1.585665442271334,0.0160073158867157,1463.7200000000012,1662.8700000000026,88749.38597996961,0.0466358592579857,0.0123426495558638,1247.6825000000008,89178.59290951298,0.0392940818756957,0.6744904634965558,857.8458333333347,88876.85073895806,0.0382871342037761,53.135751054931966,167.17361222380714,119.26065836732002,3590.5506625000003,2670.6097825,1638.3265254166663,1230.5248268218822,1298.0772000833138
90904.25,2525.68968,231110046.5970152,377081.0,1245.6000000000058,1.362754356744065,0.0133942738852622,1245.6000000000058,1669.5000000000036,89965.69301764433,0.0312487156862686,0.0123641271765115,1331.8837500000009,89187.88040005797,0.0386235043211969,0.6746944839120967,889.3312500000017,88878.51068809848,0.0390807066618115,53.866545671595205,200.70052346332525,135.54863138652107,3571.78707,2848.9752,1713.08020875,825.980090251349,1317.5503462128145
