Low Price,Number of Trades,BB_Lower_24h,BB_Width_24h,MACD_Signal,Volume_MA24,Volatility_24h
91415.79,329282.0,89183.80522234022,0.0287516346541977,-60.010246785492754,2615.737155,0.33999977713844415
91555.54,214675.0,89129.53552847792,0.0306547152852032,0.6894202544291304,2147.4518766666665,0.331500162883741
91640.0,239853.0,89100.50101262725,0.0316987401101455,58.098457274525664,1885.2804925,0.32788200210515955
91680.0,185757.0,89062.7686338423,0.0331485902273555,111.24153517396198,1728.0617699999998,0.3240336520753983
90051.1,453341.0,89041.44538990359,0.0337920870734404,134.83087840663802,1953.3451616666669,0.4314714532259872
90100.5,263667.0,89033.05825944035,0.0333682344375327,142.2135827649694,1920.7187485714287,0.4264734614711994
89376.9,383233.0,88934.96035165899,0.0350059541907355,122.5349960157185,2005.72191125,0.45839473087644916
89436.29,451637.0,88934.78028261306,0.0346949227955956,99.50296754483158,2121.723038888889,0.4885307045471781
90904.25,377081.0,88878.51068809848,0.0390807066618115,135.54863138652107,2527.743630833333,0.6746944839120967
89667.66,383991.0,88960.29059115447,0.0385940676676835,125.32663018931916,2467.7742992857143,0.7124838448983009
90412.0,457774.0,89070.86652745026,0.0374852911198993,125.93106886928952,2539.9310140000002,0.7273615380988672
91144.08,226527.0,89294.70579292538,0.0346138487471605,128.9526154258842,2484.279116875,0.7183849712612271
91001.0,103431.0,89457.28943944149,0.0325506370968565,130.98974370292453,2388.0721376470588,0.7158787142773351
90224.02,223315.0,89537.8578283244,0.031575665280826,121.09265267295092,2341.4228566666666,0.7314779085213263
90357.0,176262.0,89649.36207714891,0.0299349590318096,113.19362462095602,2278.825042631579,0.7410449616331978
90616.0,136859.0,89646.8321214141,0.0300685995473232,101.4591352345312,2199.5180275,0.7246266469169753
90702.73,115961.0,89692.4493020434,0.0295744979603796,96.02860540066374,2137.4203904761903,0.7305957651017447
91163.9,110512.0,89724.94673717122,0.0294936893036876,97.67833188071596,2078.2217063636363,0.7307508082940846
91248.01,141302.0,89785.24879334772,0.0291331969084638,105.05215738163562,2031.583671304348,0.728462928997512
91238.09,108267.0,89821.88175107361,0.0293691003318141,120.95584518873274,1987.2679254166667,0.7308220311196068
91598.5,120901.0,89828.32376896708,0.0291096767037635,142.40652209998325,1908.1654862500002,0.6617069293871896
91600.0,105126.0,89830.46122410317,0.0290799017062649,160.4747486695411,1849.30033,0.6616491467532786
91400.03,109748.0,89831.57787995384,0.0289776699956312,177.67834206819217,1830.7653333333335,0.6622660997047178
91200.0,191570.0,89832.0032104489,0.0289810227457291,191.65138250448427,1847.9049783333332,0.6621775256968041
91485.04,193823.0,89832.62998771187,0.0289326094074513,203.3299423090083,1834.6302675,0.6621681834638695
91524.0,125489.0,89929.49523859817,0.0281019395186668,210.9192280587201,1734.3982462499998,0.5778361907158098
91652.01,242372.0,89952.84689307478,0.0291070226628382,228.08519035458505,1787.7092495833333,0.5977333745400157
90975.8,535025.0,90385.78346343292,0.0227456664176483,229.2200494976217,1882.4058383333333,0.6171845004229424
92147.12,240807.0,90334.44827799148,0.0247859211818023,254.1177992689216,1705.4670304166666,0.429818163055211
92339.26,348956.0,90263.63395424756,0.0273880356757215,277.68937379224144,1745.9736641666668,0.43206805477942806
92711.5,466387.0,90239.41807188606,0.0306005784138256,316.8508010452712,1830.0462558333331,0.3714167494151031
93060.0,325061.0,90291.42824474744,0.0319636911562865,356.3351590625299,1836.2997587499997,0.38506419573216893
92165.05,343405.0,90314.51837047994,0.0326177824061386,380.8571024170016,1790.1968574999999,0.3878857050758389
91800.0,283669.0,90363.59389928816,0.0324775992066795,389.6803886048962,1804.9861166666667,0.3895447788628495
91320.0,283669.0,90421.41858651822,0.0319646950428511,381.4001837574948,1836.3962666666666,0.3963111365750471
91585.3,155412.0,90616.36942351804,0.029240211098803,369.6961259027482,1819.1686174999998,0.3779089546374273
92000.0,132271.0,90714.05673042922,0.0281087798423228,351.3635498206217,1803.0377479166666,0.36915329573286243
91580.0,158635.0,90948.0756091054,0.024709962234845,298.2103409336976,1819.8061366666668,0.35348914708464946
91500.0,163185.0,91006.479963703,0.0239165614054714,270.01876449771646,1840.8751954166667,0.3557706514348747
91850.0,120039.0,91058.0115955177,0.0233133170486064,244.96276467223407,1830.7241804166667,0.35563891740046566
91958.56,111485.0,91079.6905604433,0.0233139245255449,228.7578846170082,1821.76295625,0.35681766019337485
92352.59,111963.0,91096.97323170165,0.0233465194077926,216.3145368545993,1813.62072125,0.3578888718273982
92300.0,188554.0,91141.73617260523,0.0233665368031472,214.00523773539467,1823.5157729166667,0.3606688534329419
92720.0,180686.0,91150.90896053935,0.0243508270270528,223.25904293274047,1869.1837025000002,0.36446562704098123
92970.0,191097.0,91192.62062490908,0.0247390906135797,237.17114357072668,1893.6807925,0.3646535588723841
93009.98,166673.0,91226.03249603976,0.0253402088861546,255.58082093334025,1904.4939095833333,0.3653272699942585
92808.0,261786.0,91274.02403617918,0.0258727924290013,278.0722765272915,1927.0908658333335,0.3643964537434386
93314.49,362121.0,91247.83505527652,0.0273593574828026,302.54256575868953,1873.0415508333335,0.33382430246252764
93531.94,539038.0,91313.90885558656,0.0285737885461175,339.8569120435744,1860.9968763333334,0.24970971607489117
93828.0,730860.0,91265.8318131281,0.0319848978262268,386.3923154523621,1864.1560755,0.22984362467962544
94050.0,641417.0,91183.56558629451,0.0357488554627745,437.18299889584046,1880.3790413333334,0.21533103320035518
93316.0,688413.0,91189.01533129335,0.037219967506804,475.9418721773624,1985.37696925,0.25229880456789805
